files,title,id,authors
"P86-1022.pdf,P86-1022.bib",THE CONTRIBUTION OF PARSING TO PROSODIC PHRASING IN AN EXPERIMENTAL TEXT-TO-SPEECH SYSTEM,P86-1022,"Joan Bachenko,Eileen Fitzpatrick,C. E. Wright"
"P86-1023.pdf,P86-1023.bib",Morphoogicai Decomposition and Stress Assignment for Speech Synthesis,P86-1023,Kenneth Church
"P86-1024.pdf,P86-1024.bib",A SENTENCE ANALYSIS METHOD FOR A JAPANESE BOOK READING MACHINE FOR THE BLIND,P86-1024,"Yutaka Ohyama,Toshikazu Fukushima,Tomoki Shutoh,Masamichi Shutoh"
"P86-1025.pdf,P86-1025.bib",JAPANESE PROSODIC PHRASING AND INTONATION SYNTHESIS,P86-1025,"Mary E. Beckman,Janet B. Pierrehumbert"
"P86-1026.pdf,P86-1026.bib",Questions about Connectionist Models of Natural Language,P86-1026,Mark Liberman
"P86-1027.pdf,P86-1027.bib",Language Learning in Massively-Parallel Networks,P86-1027,Terrence J. Sejnowski
P85-1000.pdf,Front Matter,P85-1000,
"P85-1001.pdf,P85-1001.bib",SEMANTICS OF TEMPORAL QUERIES AND TEMPORAL DATA,P85-1001,Carole D. Hafner
"P85-1002.pdf,P85-1002.bib",TEMPORAL INFERENCES IN MEDICAL TEXTS,P85-1002,Klaus K. Obermeier
"P85-1003.pdf,P85-1003.bib","Tense, Aspect and the Cognitive Representation of Time",P85-1003,Kenneth Man-kam Yip
"P85-1004.pdf,P85-1004.bib",CLASSIFICATION OF MODALITY FUNCTION AND ITS APPLICATION TO JAPANESE LANGUAGE ANALYSIS,P85-1004,"Shozo NAITO,Akira SHIMAZU,Hirosato NOMURA"
"P85-1005.pdf,P85-1005.bib",UNIVERSALITY AND INDIVIDUALITY: THE INTERACTION OF NOUN PHRASE DETERMINERS IN COPULAR CLAUSES,P85-1005,John C. Mallery
"P85-1006.pdf,P85-1006.bib",MEINONGIAN SEMANTICS FOR PROPOSITIONAL SEMANTIC NETWORKS,P85-1006,William J. Rapaport
"P85-1007.pdf,P85-1007.bib",Speech Acts and Rationality,P85-1007,"Philip R. Cohen,Hector J, Levesque"
"P85-1008.pdf,P85-1008.bib",Ontological Promiscuity,P85-1008,Jerry R. Hobbs
"P85-1009.pdf,P85-1009.bib",REVERSIBLE AUTOMATA AND INDUCTION OF THE ENGLISH AUXILIARY SYSTEM,P85-1009,Samuel F. Pilato
"P85-1010.pdf,P85-1010.bib",THE COMPUTATIONAL DIFFICULTY OF ID/LP PARSING,P85-1010,G. Edward Barton
"P85-1011.pdf,P85-1011.bib",SOME COMPUTATIONAL PROPERTIES OF TREE ADJOINING GRAMMERS,P85-1011,"K. Vijay-Shankar,Aravind K. Jushi"
"P85-1012.pdf,P85-1012.bib",TAG's as a Grammatical Formalism for Generation,P85-1012,"David D. McDonald,James D. Pustejovsky"
"P85-1013.pdf,P85-1013.bib",MODULAR LOGIC GRAMMARS,P85-1013,Michael C. McCord
"P85-1014.pdf,P85-1014.bib",New Approaches to Parsing Conjunctions Using Prolog,P85-1014,"Sandiway Fong,Robert C. Berwick"
"P85-1015.pdf,P85-1015.bib",Parsing with Discontinuous Constituents,P85-1015,Mark Johnson
"P85-1016.pdf,P85-1016.bib",Structure Sharing with Binary Trees,P85-1016,Lauri Karttunen
"P85-1017.pdf,P85-1017.bib",A Structure-Sharing Representation for Unification-Based Grammar Formalisms,P85-1017,Fernando C. N. Pereira
"P85-1018.pdf,P85-1018.bib",Using Restriction to Extend Parsing Algorithms for Complex-Feature-Based Formalisms,P85-1018,Stuart M. Shieber
"P85-1019.pdf,P85-1019.bib",Semantic Caseframe Parsing and Syntactic Generality,P85-1019,"Philip J. Hayes,Peggy M. Andersen,Scott Safier"
"P85-1020.pdf,P85-1020.bib",MOVEMENT IN ACTIVE PRODUCTION NETWORKS,P85-1020,"Mark A. Jones,Alan S. Driscoll"
"P85-1021.pdf,P85-1021.bib",PARSING HEAD-DRIVEN PHRASE STRUCTURE GRAMMAR,P85-1021,"Derek Proudian,Carl Pollard"
"P85-1022.pdf,P85-1022.bib",A Computational Semantics for Natural Language,P85-1022,"Lewis G. Creary,Carl J. Pollard"
"P85-1023.pdf,P85-1023.bib",ANALYSIS OF CONJUNCTIONS IN A RULE-BASED PARSER,P85-1023,"Leonardo Lesmo,Pietro Torasso"
"P84-1028.pdf,P84-1028.bib",THE RESOLUTION OF QUANTIFICATIONAL AMBIGUITY IN THE TENDUM SYSTEM,P84-1028,Harry Bunt
"P84-1029.pdf,P84-1029.bib",Preventing False Inferences,P84-1029,"Aravind Joshi,Bonnie Webber,Ralph M. Weischede"
"P84-1030.pdf,P84-1030.bib",PROBLEM LOCALIZATION STRATEGIES FOR PRAMATICS PROCESSING IN NATURAL-LANGUAGE FRONT ENDS,P84-1030,"Lance A. Ramahaw,Ralph M. Weischedel"
"P84-1031.pdf,P84-1031.bib",A CONNECTIONIST MODEL OF SOME ASPECTS OF ANAPHOR RESOLUTION,P84-1031,Ronan G. Reilly
"P84-1032.pdf,P84-1032.bib",CONCURRENT PARSING IN PROGRAMMABLE LOGIC ARRAY (PLA-) NETS PROBLEMS AND PROPOSALS,P84-1032,Helmut Schnelle
"P84-1033.pdf,P84-1033.bib",A Case Analysis Method Cooperating with ATNG and Its Application to Machine Translation,P84-1033,Hitoshi IIDA
"P84-1034.pdf,P84-1034.bib",A PROPER TREATMEMT OF SYNTAX AND SEMANTICS IN MACHINE TRANSLATION,P84-1034,"Yoshihiko Nitta,Atsushi Okajima,Hiroyuki Kaji,Youichi Hidano,Koichiro Ishihara"
"P84-1035.pdf,P84-1035.bib",A CONSIDERATION ON THE CONCEPTS STRUCTURE AND LANGUAGE- IN RELATION TO SELECTIONS OF TRANSLATION EQUIVALENTS OF VERBS IN MACHINE TRANSLATION SYSTEM,P84-1035,Sho Yoshida
"P84-1036.pdf,P84-1036.bib",DETECTING PATTERNS IN A LEXICAL DATA BASE,P84-1036,Nicoletta Calzolari
"P84-1037.pdf,P84-1037.bib",LINGUISTIC PROBLEMS IN MULTILINGUAL MORPHOLOGICAL DECOMPOSITION,P84-1037,G.Thurmair Siemens
"P84-1038.pdf,P84-1038.bib",A GENERAL COMPUTATIONAL MODEL FOR WORD-FORM RECOGNITION AND PRODUCTION,P84-1038,Kimmo Koskenniemi
"P84-1039.pdf,P84-1039.bib","PANEL: NATURAL LANGUAGE AND DATABASES, AGAIN",P84-1039,Karen Sparck Jones
"P84-1040.pdf,P84-1040.bib",THERE STILL IS GOLD IN THE DATABASE MINE,P84-1040,Madeleine Bates
"P84-1041.pdf,P84-1041.bib",Is There Natural Language after Data Bases?,P84-1041,Jaime G. Carbonell
"P84-1042.pdf,P84-1042.bib",Panel on Natural Language and Databases,P84-1042,Daniel P. Flickinger
"P84-1043.pdf,P84-1043.bib",Natural Language for Exert Systems: Comparisons with Database Systems,P84-1043,Kathleen R. McKeown
"P84-1044.pdf,P84-1044.bib",REPRESENTING KNOWLEDGE ABOUT KNOWLEDGE AND MUTUAL KNOWLEDGE,P84-1044,Said Soulhi
